epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3118,0.41089,1.94229,1.12127,0.28771,0.51638,0.33434,0.30899,0.34554,1.99651,0.50752,0.000544771,0.000544771,0.000544771
2,37.8234,0.20637,0.99713,0.95395,0.29519,0.6167,0.33537,0.26693,0.45875,2.91945,0.4433,0.00107865,0.00107865,0.00107865
3,56.2929,0.20786,0.84755,0.95175,0.15013,0.36443,0.13739,0.13638,0.27025,4.0022,0.37566,0.00159052,0.00159052,0.00159052
4,74.6322,0.19187,0.77522,0.93881,0.17896,0.42566,0.17753,0.1295,0.66801,4.71141,0.90883,0.00156798,0.00156798,0.00156798
5,93.014,0.18615,0.66232,0.9404,0.18372,0.44623,0.20368,0.18635,0.38559,3.57975,0.53575,0.00153497,0.00153497,0.00153497
6,111.23,0.16275,0.62409,0.92323,0.18556,0.34985,0.17106,0.14791,0.47337,4.38936,0.57016,0.00150197,0.00150197,0.00150197
7,129.559,0.15195,0.57643,0.92482,0.21092,0.3946,0.2376,0.23708,0.27514,3.87772,0.36476,0.00146896,0.00146896,0.00146896
8,147.917,0.14503,0.52571,0.91427,0.2322,0.33758,0.26924,0.21693,0.36752,4.11753,0.49026,0.00143595,0.00143595,0.00143595
9,166.059,0.14185,0.50569,0.9123,0.20398,0.4723,0.21198,0.20981,0.2865,3.21332,0.37227,0.00140295,0.00140295,0.00140295
10,184.353,0.13969,0.46737,0.92062,0.11495,0.15152,0.04368,0.04363,0.2215,6.09162,0.3032,0.00136994,0.00136994,0.00136994
11,202.744,0.1267,0.47022,0.91009,0.08969,0.33236,0.1121,0.11028,0.26318,5.2378,0.36031,0.00133693,0.00133693,0.00133693
12,221.108,0.12734,0.43363,0.9094,0.1812,0.26532,0.19497,0.19241,0.29611,4.43071,0.41427,0.00130393,0.00130393,0.00130393
13,239.382,0.11805,0.41119,0.9117,0.20722,0.36428,0.44955,0.44948,0.23574,3.29238,0.31636,0.00127092,0.00127092,0.00127092
14,257.579,0.11186,0.38544,0.90296,0.14659,0.21907,0.24337,0.23235,0.19796,4.30398,0.30464,0.00123791,0.00123791,0.00123791
15,275.705,0.11082,0.38609,0.91026,0.07073,0.08436,0.11712,0.11094,0.3173,5.57536,0.41082,0.00120491,0.00120491,0.00120491
16,294.01,0.10568,0.39806,0.89882,0.25938,0.3855,0.44065,0.43912,0.21172,3.54772,0.30014,0.0011719,0.0011719,0.0011719
17,312.356,0.10177,0.36888,0.90495,0.13614,0.205,0.27328,0.25719,0.2591,5.39874,0.3546,0.00113889,0.00113889,0.00113889
18,330.632,0.10291,0.38857,0.9007,0.108,0.21213,0.11461,0.1129,0.24762,5.15326,0.32694,0.00110589,0.00110589,0.00110589
19,348.958,0.09859,0.37691,0.90431,0.1841,0.31262,0.20769,0.20464,0.22613,4.99138,0.26832,0.00107288,0.00107288,0.00107288
20,367.218,0.08986,0.35562,0.89421,0.12089,0.99125,0.31246,0.31229,0.16648,4.74255,0.24208,0.00103987,0.00103987,0.00103987
21,385.489,0.0924,0.33151,0.89399,0.03774,0.87318,0.19274,0.19271,0.2093,5.7156,0.28225,0.00100687,0.00100687,0.00100687
22,403.839,0.09096,0.3373,0.89719,0.05459,0.44898,0.05837,0.05818,0.24449,6.84993,0.31768,0.000973861,0.000973861,0.000973861
23,422.185,0.08653,0.33823,0.89396,0.10717,0.7828,0.14536,0.13686,0.13646,6.65177,0.19237,0.000940855,0.000940855,0.000940855
24,440.484,0.08454,0.33965,0.89698,0.10115,0.13382,0.09699,0.09699,0.15741,5.95051,0.23227,0.000907848,0.000907848,0.000907848
25,458.8,0.0825,0.32026,0.89541,0.11824,0.98688,0.39677,0.39677,0.20943,4.86497,0.29637,0.000874842,0.000874842,0.000874842
26,477.057,0.07938,0.30078,0.89756,0.08933,0.86735,0.31686,0.31686,0.15745,4.8335,0.23908,0.000841835,0.000841835,0.000841835
27,495.393,0.07862,0.30298,0.89261,0.13072,0.89067,0.2958,0.29011,0.23873,5.68737,0.32624,0.000808828,0.000808828,0.000808828
28,513.687,0.07519,0.28843,0.88721,0.03126,0.7828,0.10154,0.10154,0.21105,6.09899,0.28996,0.000775822,0.000775822,0.000775822
29,531.963,0.06866,0.28126,0.89124,0.14745,0.75073,0.22832,0.22754,0.2307,5.96969,0.3095,0.000742815,0.000742815,0.000742815
30,550.172,0.06842,0.28454,0.89509,0.12723,0.91837,0.36669,0.33921,0.26661,5.43619,0.35691,0.000709809,0.000709809,0.000709809
31,568.478,0.07296,0.2899,0.8893,0.13174,0.81633,0.29235,0.27659,0.19488,5.15,0.27149,0.000676802,0.000676802,0.000676802
32,586.726,0.07033,0.29303,0.88734,0.10944,0.60204,0.2335,0.23339,0.18214,6.41081,0.25205,0.000643795,0.000643795,0.000643795
33,605.025,0.06651,0.26518,0.89741,0.15248,0.81195,0.27276,0.27245,0.21848,6.00686,0.29451,0.000610789,0.000610789,0.000610789
34,623.247,0.06556,0.25995,0.89419,0.18466,0.98688,0.32301,0.31994,0.22573,4.43947,0.30697,0.000577782,0.000577782,0.000577782
35,641.532,0.06596,0.25696,0.88859,0.23492,0.44657,0.26391,0.25217,0.24925,5.02571,0.34304,0.000544776,0.000544776,0.000544776
36,659.891,0.0603,0.25925,0.89422,0.42419,0.94898,0.44428,0.41338,0.25858,5.77987,0.35359,0.000511769,0.000511769,0.000511769
37,678.212,0.05715,0.25502,0.89388,0.11309,0.90962,0.33014,0.30292,0.2645,5.44208,0.35867,0.000478762,0.000478762,0.000478762
38,696.524,0.05584,0.25847,0.88827,0.1699,0.97085,0.42118,0.406,0.23074,4.72451,0.3331,0.000445756,0.000445756,0.000445756
39,714.744,0.05715,0.26393,0.88753,0.22152,0.97085,0.43472,0.43218,0.23547,4.62336,0.31226,0.000412749,0.000412749,0.000412749
40,732.95,0.05104,0.24522,0.89312,0.2399,0.72303,0.28616,0.26477,0.27828,6.40566,0.38443,0.000379743,0.000379743,0.000379743
41,750.391,0.05332,0.17581,0.91213,0.00826,0.09767,0.00531,0.00503,0.30642,7.96377,0.42529,0.000346736,0.000346736,0.000346736
42,767.713,0.04588,0.08212,0.90808,0.05882,0.12828,0.03613,0.03607,0.22411,6.98155,0.30777,0.000313729,0.000313729,0.000313729
43,785.127,0.03982,0.07378,0.90515,0.19007,0.28134,0.12551,0.12485,0.20943,6.31188,0.28569,0.000280723,0.000280723,0.000280723
44,802.518,0.03326,0.0676,0.90408,0.2878,0.46501,0.21622,0.21445,0.20288,6.28871,0.27928,0.000247716,0.000247716,0.000247716
